-1, -1, 1, 1, 1, -1, -1, 1, -1, -1
1, 0.5776, 1, 1, -1, 1, -1, 1, 1, 1
1, -0.0196, 1, 1, -0.0144, 1, 1, 1, 1, 1
-1, -1, -1, -1, 0.0064, 1, 1, 1, -1, -1
-1, 1, 1, 1, -1, 1, -1, 0.0196, 1, 1
1, 1, 0.0324, -1, -1, 1, 0.01, 0.0196, -1, -1
1, 1, -1, -1, 1, -1, -1, -1, -1, -1
1, -1, 1, 1, -1, -1, -1, 1, 1, -1
1, -1, -1, -1, -0.0144, 1, 1, 1, -1, 1
-1, -1, -1, 1, -1, 1, 1, -1, 1, 1
-1, -1, 1, 1, -1, 1, 1, 0.5776, 1, -0.4096
-1, -1, 1, -1, -1, -1, -1, 1, -1, 1
1, -0.8464, -1, -1, 1, -1, 1, -1, 1, -1
-1, 1, -1, -1, 1, -1, -1, -1, -1, -1
-1, 1, -1, -1, 1, -1, -1, 1, -1, -1
1, 0.5776, -1, 1, 1, 1, 1, -0.5776, 1, 1